Category,Browser,Global Super Group description,Global Product Group description,Global Module Description,Exception Type,Global Category,External Code,Work Item Scope,Seq,Standard Code,Code Type,External Code Group,Processing Group Code,Processing Group Description,Processing Group Set Description,Country,Source of Exception,Best Received External Description,Translated Best Received External Description,Best Existing External Description,Translated Best Existing External Description,Department Code,Department Description,Supplier Code,Supplier Description,Number of Stores Selling,Impact,Price,Retailer SKU,etailer Item Code,Store Receipt Description,Predicted Barcode,URL,Received Date,Due Date,Current Assignment Description,Country Current Assignment Description,External Item/Predicted PG/CI,External Item/Predicted Product Class,Latest Image Received Date,Sent for RTC Prediction,Priority,Reserved By,Allocated To,Defer,Has Image,Project,External Item Global Category,External Item Global Module,Local Id,Allocated Date
Business As Usual,Cross Coding,FOOD - PERISHABLE,DIPS/DRESSINGS/SAUCES - FRESH VARIABLE WEIGHT,DIPS/DRESSINGS/SAUCES - FRESH - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021094600000,LOCAL,5,'00021094600000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SNACK BREAK PIMENTO CHEESE FP 8.0000 OUNCE,,SNACK BREAK PIMENTO CHEESE FP 8.0000 OUNCE,,02404900,,,CNT,1,27.96,6.99,,,,,,25-NOV-2022 02:05:21,,69644232 : N BRND LSTD DP PMNT CHS  N PCKG 1 CNT ,69644232 : N BRND LSTD DP PMNT CHS  N PCKG 1 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - FROZEN,FISH/SHELLFISH/SEAFOOD - FROZEN VARIABLE WEIGHT,SHELLFISH/SEAFOOD - UNPREPARED - FROZEN VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021404100000,LOCAL,2,'00021404100000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CRAB KING SOUTHERN CLUSTER FZ 1.0000 POUND,,CRAB KING SOUTHERN CLUSTER FZ 1.0000 POUND,,01802800,,,CNT,1,39.99,39.99,,,,,,25-NOV-2022 02:05:21,,557306697 : N BRND LSTD FRZN AND RFRGRTD SFD   CLSTR    STHRN KNG CRB N PCKG 1 PND ,557306697 : N BRND LSTD FRZN AND RFRGRTD SFD   CLSTR    STHRN KNG CRB N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000123003,LOCAL,1,'00000000123003,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SOUP ITALIAN WEDDING CA 24.000 OUNCE,,,,02404900,,,CNT,24,373.56,8.49,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021807700000,LOCAL,1,'00021807700000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CAKE BLACK AND WHITE 1/4 SHEET FZ 100.00 OUNCE,,,,02204200,,,CNT,1,49,49,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021653700000,LOCAL,1,'00021653700000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SHRIMP JUMBO PLATTER PREV FZ 32.000 OUNCE,,,,01802800,,,CNT,75,6897.22,49.9799,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,Changed,,'000000001199,LOCAL,4,'00000000001199,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SPELT HULLED OG 1.0000 POUND,,SPELT HULLED OG 1.0000 POUND,,01001400,,,CNT,1,11.99,11.99,,,,,,25-NOV-2022 02:05:22,,UNCODEABLE PRODUCTS; PC:UNCODEABLE FOR NI PRODUCTS,28728175 : UNCODEABLE PRODUCTS; PC:UNCODEABLE FOR NI PRODUCTS,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,FISH/SHELLFISH/SEAFOOD - FRESH VARIABLE WEIGHT,SHELLFISH/SEAFOOD PREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000119787,LOCAL,2,'00000000119787,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE CRAB CAKE CHEF CREATED CA 24.000 OUNCE,,ESTORE CRAB CAKE CHEF CREATED CA 24.000 OUNCE,,02404900,,,CNT,14,998.34,39.9336,,,,,,25-NOV-2022 02:05:24,,554173809 : N BRND LSTD SFD APPTZR GRN GDDSS CRB CK   N PCKG 24 ONC ,554173809 : N BRND LSTD SFD APPTZR GRN GDDSS CRB CK   N PCKG 24 ONC ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,STATIONERY & PRINTED MATERIAL & SERVICES,:STATIONERY & PRINTED MATERIAL & SERVICES CONSOLIDATED PG:,,New,,'000000123361,LOCAL,1,'00000000123361,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,MEAL THANKSGIVING CELEBRATION FOR 12 ESTORE CA 1.0000 EACH,,,,02404900,,,CNT,4,1799.96,449.99,,,,,,25-NOV-2022 02:05:23,,,,:STATIONERY & PRINTED MATERIAL & SERVICES CONSOLIDATED PG:,DEFERRED,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - AMBIENT,BREAD - AMBIENT VARIABLE WEIGHT,BREAD - AMBIENT - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'028730300000,LOCAL,7,'00028730300000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SCONE VEGAN BLUEBERRY 4CT FZ 14.000 OUNCE,,SCONE VEGAN BLUEBERRY 4CT FZ 14.000 OUNCE,,02204200,,,WGT,1,26.96,6.9845,,,,,,25-NOV-2022 02:05:23,,534327199 : N BRND LSTD SCN BLBRRY N PCKG 4 CNT ,534327199 : N BRND LSTD SCN BLBRRY N PCKG 4 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122566,LOCAL,1,'00000000122566,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE EXTRAVAGANZA THANKSGIVING FOR 12 CA 1.0000 EACH,,,,02404900,,,CNT,2,1139.98,569.99,,,,,,25-NOV-2022 02:05:24,,,,,PERISHABLE FROZEN REFRIGERATED VGTBL,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000118564,LOCAL,1,'00000000118564,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CAKE PUMPKIN BUTTER CHAI 6IN 46.000 OUNCE,,,,02204200,,,CNT,22,1204,28,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122568,LOCAL,1,'00000000122568,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE EXTRAVAGANZA THANKSGIVING FOR 12 CA 1.0000 EACH,,,,02404900,,,CNT,7,3989.93,569.99,,,,,,25-NOV-2022 02:05:20,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,BREAD - FRESH VARIABLE WEIGHT,,New,,'000000473018,LOCAL,1,'00000000473018,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,QUESADILLA CHICKEN GARLIC LIME VN 1.0000 EACH,,,,02404900,,,CNT,1,8,8,,,,,,25-NOV-2022 02:05:20,,,,BREAD - FRESH VARIABLE WEIGHT,SINGLE PACK,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122567,LOCAL,1,'00000000122567,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE EXTRAVAGANZA THANKSGIVING FOR 12 CA 1.0000 EACH,,,,02404900,,,CNT,3,1709.97,569.99,,,,,,25-NOV-2022 02:05:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122774,LOCAL,1,'00000000122774,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE MEAL ATLANTIC SALMON EN CROUTE FOR 4 CA 1.0000 EACH,,,,02404900,,,CNT,16,1599.84,99.99,,,,,,25-NOV-2022 02:05:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025669700000,LOCAL,4,'00025669700000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,BEEF CHUCK SHORT RIB BNLS TP PSTR S4 1.0000 POUND,,BEEF CHUCK SHORT RIB BNLS TP PSTR S4 1.0000 POUND,,01602700,,,CNT,1,10.94,10.94,,,,,,25-NOV-2022 02:05:21,,501747508 : N BRND LSTD FRSH AND FRZN MT  BNLSS   BF CHCK SHRT RB N PCKG 1 PND ,501747508 : N BRND LSTD FRSH AND FRZN MT  BNLSS   BF CHCK SHRT RB N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'029164600000,LOCAL,7,'00029164600000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,TURKEY DRUMSTICK OG S1 1.0000 POUND,,TURKEY DRUMSTICK OG S1 1.0000 POUND,,01602700,,,WGT,2,18.8,3.9915,,,,,,25-NOV-2022 02:05:22,,63744104 : N BRND LSTD FRSH AND FRZN MT     TRKY DRMSTCK N PCKG 1 PND ,63744104 : N BRND LSTD FRSH AND FRZN MT     TRKY DRMSTCK N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122997,LOCAL,1,'00000000122997,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SPINACH CREAMED OG CA 32.000 OUNCE,,,,02404900,,,CNT,1,23.99,23.99,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021495100000,LOCAL,2,'00021495100000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,TURKEY FRESH ORGANIC BONE IN BREAST 8/12 1.0000 POUND,,TURKEY FRESH ORGANIC BONE IN BREAST 8/12 1.0000 POUND,,01602700,,,CNT,1,0,0,,,,,,25-NOV-2022 02:05:22,,561009102 : N BRND LSTD FRSH AND FRZN MT  BN IN WHL  TRKY BRST N PCKG 1 PND ,561009102 : N BRND LSTD FRSH AND FRZN MT  BN IN WHL  TRKY BRST N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,BEVERAGES - NON ALCOHOLIC,COFFEE/COFFEE SUBSTITUTES - VARIABLE WEIGHT,COFFEE - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000117963,LOCAL,2,'00000000117963,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,MOCHA WHITE STRAWBERRY RG 12.000 FLUID,,MOCHA WHITE STRAWBERRY RG 12.000 FLUID,,02204800,,,CNT,1,4.75,4.75,,,,,,25-NOV-2022 02:05:22,,551269952 : N BRND LSTD FLVRD LQD CFF WHT STRWBRRY MCH N PCKG  12 ONC ,551269952 : N BRND LSTD FLVRD LQD CFF WHT STRWBRRY MCH N PCKG  12 ONC ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021522000000,LOCAL,1,'00021522000000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,TURKEY WHOLE 16/18 OG S2 1.0000 EACH,,,,01602700,,,CNT,2,1148.06,47.8358,,,,,,25-NOV-2022 02:05:23,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,BREAD - FRESH VARIABLE WEIGHT,BREAD FRESH VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000112768,LOCAL,2,'00000000112768,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,BREAD BAG 5X3X8 WITH WINDOW 1.0000 EACH,,BREAD BAG 5X3X8 WITH WINDOW 1.0000 EACH,,09999999,,,CNT,1,0,0,,,,,,25-NOV-2022 02:05:23,,29649758 : N BRND LSTD BRD  WHT PLN WHT  N PCKG 1 CNT ,29649758 : N BRND LSTD BRD  WHT PLN WHT  N PCKG 1 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000118563,LOCAL,1,'00000000118563,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CAKE PUMPKIN BUTTER CHAI 6IN 46.000 OUNCE,,,,02204200,,,CNT,26,999,27,,,,,,25-NOV-2022 02:05:23,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'029564200000,LOCAL,5,'00029564200000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,BEEF RIBEYE STEAK B/I GRS S4 1.0000 POUND,,BEEF RIBEYE STEAK B/I GRS S4 1.0000 POUND,,01602700,,,WGT,1,197.31,20.9904,,,,,,25-NOV-2022 02:05:24,,29838679 : N BRND LSTD FRSH AND FRZN MT  BN IN SKNLSS   BF RB STK N PCKG 1 PND ,29838679 : N BRND LSTD FRSH AND FRZN MT  BN IN SKNLSS   BF RB STK N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - AMBIENT,CAKES/GATEAUX - AMBIENT VARIABLE WEIGHT,CAKES/GATEAUX - AMBIENT - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021061000000,LOCAL,2,'00021061000000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CAKE VANILLA CUSTOM FULL SHEET 350.00 OUNCE,,CAKE VANILLA CUSTOM FULL SHEET 350.00 OUNCE,,02204200,,,WGT,1,75,166.6667,,,,,,25-NOV-2022 02:05:24,,518377601 : N BRND LSTD SHT CK VNLL    FLL TRY 1 CNT ,518377601 : N BRND LSTD SHT CK VNLL    FLL TRY 1 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: TEMPORARY MDL STANDARD/CONSOLIDATED ITEMS,US MDL STANDARD/CONSOLIDATED ITEMS,US MDL CONSOLIDATED,Changed,,'021800000000,LOCAL,2,'00021800000000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,MUSHROOMS STUFFED GOAT CHEESE & ROASTED TOMATO FP 1.0000 POUND,,MUSHROOMS STUFFED GOAT CHEESE & ROASTED TOMATO FP 1.0000 POUND,,02404900,,,WGT,1,2.3,10,,,,,,25-NOV-2022 02:05:24,,507010408 : US MDL CNSLDTD ,507010408 : US MDL CNSLDTD ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: TEMPORARY MDL STANDARD/CONSOLIDATED ITEMS,US MDL STANDARD/CONSOLIDATED ITEMS,US MDL CONSOLIDATED,Changed,,'021669300000,LOCAL,4,'00021669300000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CAKE VELVET RED 8IN 76.000 OUNCE,,CAKE VELVET RED 8IN 76.000 OUNCE,,02204200,,,CNT,17,1469.4,38.6684,,,,,,25-NOV-2022 02:05:24,,507010408 : US MDL CNSLDTD ,507010408 : US MDL CNSLDTD ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,ZZ: TEMPORARY MDL STANDARD/CONSOLIDATED ITEMS,US MDL STANDARD/CONSOLIDATED ITEMS,US MDL CONSOLIDATED,Changed,,'000000112815,LOCAL,2,'00000000112815,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,PINOT NOIR PASSIFLORA 750.00 MILLI,,PINOT NOIR PASSIFLORA 750.00 MILLI,,01402200,,,CNT,2,335.95,67.19,,,,,,25-NOV-2022 02:05:24,,507010408 : US MDL CNSLDTD ,507010408 : US MDL CNSLDTD ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021522900000,LOCAL,1,'00021522900000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,TURKEY WHOLE 22/24 OG S2 1.0000 EACH,,,,01602700,,,CNT,2,460.46,65.78,,,,,,25-NOV-2022 02:05:20,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,CHEESE - FRESH VARIABLE WEIGHT,CHEESE BLOCKS REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025154300000,LOCAL,11,'00025154300000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,PLATTER CHEESE AMERICAN ARTISANAL SM 22.000 OUNCE,,PLATTER CHEESE AMERICAN ARTISANAL SM 22.000 OUNCE,,01402450,,,WGT,1,49.99,70.4085,,,,,,25-NOV-2022 02:05:21,,67945553 : N BRND LSTD CHNK CHS  AMRCN   CHNK   TRY 1 CNT ,67945553 : N BRND LSTD CHNK CHS  AMRCN   CHNK   TRY 1 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,SALADS - FRESH VARIABLE WEIGHT,SALADS PREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021507900000,LOCAL,2,'00021507900000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SALAD BROCCOLI CRUNCH CC 1.0000 POUND,,SALAD BROCCOLI CRUNCH CC 1.0000 POUND,,02404900,,,CNT,1,0,0,,,,,,25-NOV-2022 02:05:21,,30071166 : N BRND LSTD VGTBL SLD   BRCCL CRNCH N PCKG 1 PND ,30071166 : N BRND LSTD VGTBL SLD   BRCCL CRNCH N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122809,LOCAL,1,'00000000122809,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE PIE CHERRY 9IN 1.0000 EACH,,,,02204200,,,CNT,60,1804.61,13.9892,,,,,,25-NOV-2022 02:05:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'021523300000,LOCAL,1,'00021523300000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,TURKEY WHOLE 26/28 S1 1.0000 EACH,,,,01602700,,,CNT,1,51.74,51.74,,,,,,25-NOV-2022 02:05:21,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - AMBIENT,CAKES/GATEAUX - AMBIENT VARIABLE WEIGHT,CAKES/GATEAUX - AMBIENT - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021653500000,LOCAL,2,'00021653500000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,SHRIMP COCKTAIL PLATTER PREV FZ 32.000 OUNCE,,SHRIMP COCKTAIL PLATTER PREV FZ 32.000 OUNCE,,01802800,,,CNT,97,7387.01,27.9811,,,,,,25-NOV-2022 02:05:22,,40027101 : N BRND LSTD SNGL LYR CK STRWBRRY CHNTLLY    SLC N PCKG 1 CNT ,40027101 : N BRND LSTD SNGL LYR CK STRWBRRY CHNTLLY    SLC N PCKG 1 CNT ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000121800,LOCAL,1,'00000000121800,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CATERING BUNDLE DINNER PARTY PACKAGE 1.0000 EACH,,,,02404900,,,CNT,1,249.99,249.99,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122544,LOCAL,1,'00000000122544,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE PACKAGE ENTERTAINING 2 CA 1.0000 EACH,,,,02404900,,,CNT,23,3499.65,99.99,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000121877,LOCAL,1,'00000000121877,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CATERING ENTREES BEEF MEATBALL MARINARA FOR 8 1.0000 EACH,,,,02404900,,,CNT,1,49.99,49.99,,,,,,25-NOV-2022 02:05:22,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - AMBIENT,CEREALS/TOASTER PASTRIES - AMBIENT VARIABLE WEIGHT,CEREALS/TOASTER PASTRIES - AMBIENT - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000001070,LOCAL,5,'00000000001070,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,COFFEE-THANKSGIVING 1.0000 EACH,,COFFEE-THANKSGIVING 1.0000 EACH,,01001400,,,WGT,1,6.18,3.9871,,,,,,25-NOV-2022 02:05:23,,510224006 : N BRND LSTD GRNL CRL HNY ALMND HNY ALMND GRNL N PCKG 1 PND ,510224006 : N BRND LSTD GRNL CRL HNY ALMND HNY ALMND GRNL N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,BISCUITS & CONFECTIONERY & SNACKS,CHOCOLATE/CHOCOLATE SUBSTITUTES - VARIABLE WEIGHT,CHOCOLATE - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000005423,LOCAL,9,'00000000005423,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,CHOCOLATE MALTBALLS W PEANUT BUTTER 1.0000 POUND,,CHOCOLATE MALTBALLS W PEANUT BUTTER 1.0000 POUND,,02003700,,,WGT,1,12.05,8.9925,,,,,,25-NOV-2022 02:05:24,,510171774 : N BRND LSTD CHCLT CVRD PC MLK PNT BTTR MLT BLL   N PCKG 1 PND ,510171774 : N BRND LSTD CHCLT CVRD PC MLK PNT BTTR MLT BLL   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,,,,New,,'000000122747,LOCAL,1,'00000000122747,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,ESTORE PLATTER COOKIES PRETZEL BUTTERSCOTCH 1.0000 EACH,,,,02204200,,,CNT,2,59.98,29.99,,,,,,25-NOV-2022 02:05:24,,,,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,FRUIT/NUTS - FRESH VARIABLE WEIGHT,FRUIT FRESH - VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'000000093177,LOCAL,4,'00000000093177,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,MANDARIN OG 1.0000 POUND,,MANDARIN OG 1.0000 POUND,,01201700,,,WGT,2,12.29,2.9903,,,,,,25-NOV-2022 02:05:24,,29433152 : MLTPL VL SNGL FRT TNGRN   N PCKG 1 PND ,29433152 : MLTPL VL SNGL FRT TNGRN   N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,BREAD - FRESH VARIABLE WEIGHT,BREAD FRESH VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'020817900000,LOCAL,4,'00020817900000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,BURGER SMOKEY BBQ MARKET BURGER LTO VN 1.0000 EACH,,BURGER SMOKEY BBQ MARKET BURGER LTO VN 1.0000 EACH,,02404900,,,WGT,1,2,10,,,,,,25-NOV-2022 02:05:24,,40041525 : N BRND LSTD SNDWCH SMKY BBQ PRK BRGR   N PCKG 1 CNT  ,40041525 : N BRND LSTD SNDWCH SMKY BBQ PRK BRGR   N PCKG 1 CNT  ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,MEAT/POULTRY/GAME - FRESH VARIABLE WEIGHT,MEAT UNCOOKED UNPREPARED REFRIGERATED VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'025278600000,LOCAL,3,'00025278600000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,TURKEY WHOLE 12/14 OG S2 1.0000 EACH,,TURKEY WHOLE 12/14 OG S2 1.0000 EACH,,01602700,,,CNT,2,896.85,35.874,,,,,,25-NOV-2022 02:05:24,,30143598 : N BRND LSTD FRSH AND FRZN MT   WHL  TRKY  N PCKG 1 PND ,30143598 : N BRND LSTD FRSH AND FRZN MT   WHL  TRKY  N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
Business As Usual,Cross Coding,FOOD - PERISHABLE,VEGETABLES/SALAD VEGETABLES - FRESH VARIABLE WEIGHT,VEGETABLES/SALAD VEGETABLES FRESH VARIABLE WEIGHT,Changed,ZZ VARIABLE WEIGHT,'021522100000,LOCAL,3,'00021522100000,LAC,LAC,WHB,WHB WHOLE FOODS,US BIR,UNITED STATES OF AMERICA,SIRVAL,TURKEY WHOLE 18/20 S1 1.0000 EACH,,TURKEY WHOLE 18/20 S1 1.0000 EACH,,01602700,,,CNT,2,214.92,35.82,,,,,,25-NOV-2022 02:05:24,,29338862 : MLTPL VL SNGL VGTBL MNG BN SPRT WHL    N PCKG 1 PND ,29338862 : MLTPL VL SNGL VGTBL MNG BN SPRT WHL    N PCKG 1 PND ,,,,FALSE,0,,,,N,,,,,
